id_ten,Ten_phgd
Không,
Q1,Phòng GDĐT quận 1
Q2,Phòng GDĐT quận 2
Q3,Phòng GDĐT quận 3
Q4,Phòng GDĐT quận 4
Q5,Phòng GDĐT quận 5
Q6,Phòng GDĐT quận 6
Q7,Phòng GDĐT quận 7
Q8,Phòng GDĐT quận 8
Q9,Phòng GDĐT quận 9
Q10,Phòng GDĐT quận 10
Q11,Phòng GDĐT quận 11
Q12,Phòng GDĐT quận 12
Bình Tân,Phòng GDĐT Bình Tân
Bình Thạnh,Phòng GDĐT Bình Thạnh
Gò Vấp,Phòng GDĐT Gò Vấp
Phú Nhuận,Phòng GDĐT Phú Nhuận
Tân Bình,Phòng GDĐT Tân Bình
Tân Phú,Phòng GDĐT Tân Phú
Bình Chánh,Phòng GDĐT Bình Chánh
Cần Giờ,Phòng GDĐT Cần Giờ
Củ Chi,Phòng GDĐT Củ Chi
Hóc Môn,Phòng GDĐT Hóc Môn
Nhà Bè,Phòng GDĐT Nhà Bè
Thủ Đức,Phòng GDĐT Thủ Đức
